Bird.ID,year,Infection,Un.ID,sample,samplea,sampleb,day,Mass,Fat.Score,Eye.Score.Left,Eye.Score.Right,Eye,hem,ant,anta,pathlog
675,2023,second,675second,1,1,1,0,20.21,0,0,0,0,51,0.032079435,pos,0
675,2023,second,675second,1,1,0,1,19.28,0,0,0,0,,,,15.9841
675,2023,second,675second,1,1,0,3,18.66,0,1,1,2,,,,18.80965
675,2023,second,675second,1,1,0,5,18.63,0,1,1,2,,,,16.66562
675,2023,second,675second,1,1,0,7,19.16,0,1,0,1,48,,,0
675,2023,second,675second,1,0,0,10,,,0,0,0,,,,
675,2023,second,675second,1,1,1,14,18.72,0,0,0,0,52,0.091433849,pos,0
675,2023,second,675second,1,0,0,17,,,0,0,0,,,,
675,2023,second,675second,1,1,0,21,18.74,0,0,0,0,54,,,0
678,2023,second,678second,1,1,1,0,23.8,2.5,0,0,0,59,0.057284705,pos,0
678,2023,second,678second,1,1,0,1,22.22,2.5,0,0,0,,,,
678,2023,second,678second,1,1,0,3,21.08,1.5,0,0.5,0.5,,,,15.41899
678,2023,second,678second,1,1,0,5,20.2,1.5,1,1,2,,,,16.66562
678,2023,second,678second,1,1,1,7,20.43,2,0.5,1,1.5,57,0.126026351,pos,13.30881
678,2023,second,678second,1,0,0,10,,,0,0,0,,,,
678,2023,second,678second,1,1,1,14,21.42,2,0,0,0,58,0.130916647,pos,0
678,2023,second,678second,1,0,0,17,,,0,0,0,,,,
678,2023,second,678second,1,1,0,21,21.76,0.5,0,0,0,57,,,0
679,2023,second,679second,1,1,1,0,18.18,0,0,0,0,57,0.122016422,pos,0
679,2023,second,679second,1,1,0,1,17.88,0,0,0,0,,,,14.85388
679,2023,second,679second,1,1,0,3,18.24,0,0,0.5,0.5,,,,15.9841
679,2023,second,679second,1,1,0,5,18.59,0,0.5,0.5,1,,,,17.24243
679,2023,second,679second,1,1,1,7,18.06,0,0,0,0,56,0.112850869,pos,13.78157
679,2023,second,679second,1,0,0,10,,,0,0,0,,,,
679,2023,second,679second,1,1,1,14,18.48,0,0,0,0,50,0.105287462,pos,12.20607
679,2023,second,679second,1,0,0,17,,,0,0,0,,,,
679,2023,second,679second,1,1,0,21,18.64,0,0,0,0,64,,,0
684,2023,second,684second,0,1,0,0,17.95,0.5,0,0,0,55,,,
684,2023,second,684second,0,1,0,1,16.99,0.5,0,0.5,0.5,,,,
684,2023,second,684second,0,1,0,3,16.15,0,1,1.5,2.5,,,,
684,2023,second,684second,0,1,0,5,20.37,0,1,1,2,,,,
684,2023,second,684second,0,1,0,7,17.02,1,0.5,1,1.5,51,,,
684,2023,second,684second,0,0,0,10,,,0,0,0,,,,
684,2023,second,684second,0,1,0,14,17.22,0,0,0,0,52,,,
684,2023,second,684second,0,0,0,17,,,0,0,0,,,,
684,2023,second,684second,0,1,0,21,19.99,0,0,0,0,57,,,
688,2023,second,688second,0,1,0,0,22.13,2,0,0,0,50,,,
688,2023,second,688second,0,1,0,1,21.2,2,0,0,0,,,,
688,2023,second,688second,0,1,0,3,20.29,3,2,2,4,,,,
688,2023,second,688second,0,1,0,5,20.17,3,0.5,0.5,1,,,,
